OrganisationID;OrganisationCode;OrganisationType;SubType;Sector;OrganisationStatus;IsPimsManaged;OrganisationName;Address1;Address2;Address3;City;County;Postcode;Latitude;Longitude;ParentODSCode;ParentName;Phone;Email;Website;Fax;
17970;NDA07;Hospital;Hospital;Independent Sector;Visible;TRUE;Walton Community Hospital - Virgin Care Services Ltd;;Rodney Road;;Walton-on-Thames;Surrey;KT12 3LD;51,3799972534;-0,4060420692;NDA;Virgin Care Services Ltd;01932 414205;;;01932 253674;
17981;NDA18;Hospital;Hospital;Independent Sector;Visible;TRUE;Woking Community Hospital (Virgin Care);;Heathside Road;;Woking;Surrey;GU22 7HS;51,3151321411;-0,556289494;NDA;Virgin Care Services Ltd;01483 715911;;;;
18101;NLT01;Hospital;Hospital;NHS Sector;Visible;TRUE;North Somerset Community Partnership Cic HQ;Castlewood;Tickenham Road;;Clevedon;Avon;BS21 6AB;51,4396934509;-2,8400685787;NLT;North Somerset Community Partnership Community Interest Company;;;;;
18102;NLT02;Hospital;Hospital;NHS Sector;Visible;TRUE;North Somerset Community Hospital;North Somerset Community Hospital;Old Street;;Clevedon;Avon;BS21 6BS;51,4371948242;-2,8471927643;NLT;North Somerset Community Partnership Community Interest Company;01275 872212;;https://www.sirona-cic.org.uk/nhsservices/services/clevedon-minor-injury-unit/;;
18138;NMP01;Hospital;Hospital;Independent Sector;Visible;FALSE;Bridgewater Hospital;120 Princess Road;;;Manchester;Greater Manchester;M15 5AT;53,4597434998;-2,2454688549;NMP;Bridgewater Hospital (Manchester) Ltd;0161 2270000;;www.bridgewaterhospital.com;;
18142;NMV01;Hospital;Hospital;Independent Sector;Visible;TRUE;Kneesworth House;Old North Road;Bassingbourn;;Royston;;SG8 5JP;52,0781211853;-3.0604055151343346E-2;NMV;Partnerships In Care Ltd;01763 255 700;reception_kneesworthhouse@partnershipsincare.co.uk;www.partnershipsincare.co.uk;;
18143;NMV02;Hospital;Hospital;Independent Sector;Visible;TRUE;Stockton Hall Hospital;Stockton Hall;The Village;Stockton On The Forest;York;North Yorkshire;YO32 9UN;53,9954032898;-1,0025526285;NMV;Partnerships In Care Ltd;01904 400 500;info@priorygroup.com;https://www.priorygroup.com/stockton-hall;;
18289;NQ901;Hospital;Hospital;Independent Sector;Visible;FALSE;Lakeside Hospital;The Lane;Wyboston;;Bedford;Bedfordshire;MK44 3AS;52,1984596252;-0,3120315373;NQ9;Brookdale Healthcare Ltd (T/A Brookdale Care);;;;;
18305;NQM01;Hospital;Hospital;Independent Sector;Visible;TRUE;Orthopaedics and Spine Specialist Hospital;1 Stirling Way;Bretton;;Peterborough;Cambridgeshire;PE3 8YA;52,6049423218;-0,2830218077;NQM;Orthopaedics and Spine Specialist Hospital;01733 333156;info@orthospine.co.uk;;01733 373050;
18314;NR510;Hospital;Hospital;Independent Sector;Visible;TRUE;Lee Mill Hospital;;Beech Road;Ivybridge;Plymouth;Devon;PL21 9HL;50,3894844055;-3,9596600533;NR5;Livewell Southwest;01752 314800;;;01752 314804;
18317;NR527;Hospital;Hospital;Independent Sector;Visible;TRUE;Mount Gould Hospital;;Mount Gould Road;;Plymouth;;PL4 7QD;50,37840271;-4,1127405167;NR5;Livewell Southwest;01752 435502;;https://www.livewellsouthwest.co.uk/;;
18351;NT202;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Bournemouth Hospital;;67 Landsdowne Road;;Bournemouth;Dorset;BH1 1RW;50,7297554016;-1,8697808981;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/individuals/centres/b/bournemouth/;;
18352;NT204;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Brentwood Hospital;;Shenfield Road;;Brentwood;Essex;CM15 8EH;51,6233329773;0,3128353059;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/brentwoodhospital;;
18353;NT205;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Brighton Hospital;;Warren Road;Woodingdean;Brighton;;BN2 6DX;50,8345184326;-8.1910513341426849E-2;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/brightonhospital;;
18354;NT206;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Bristol Hospital (Chesterfield);3 Clifton Hill;Clifton;;Bristol;Avon;BS8 1BN;51,4536094666;-2,6159844398;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/hospitals/bristol;;
18356;NT209;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Cambridge Hospital;Nuffield Health Cambridge Hospital;4 Trumpington Road;;Cambridge;Cambridgeshire;CB2 8AF;52,1903533936;0,1235585958;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/cambridgehospital;;
18357;NT210;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, The Grosvenor Hospital, Chester;Nuffield Health Chester Hospital, The Grosvenor;Wrexham Road;;Chester;Cheshire;CH4 7QP;53,1763458252;-2,8952467442;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/thegrosvenorhospitalchester;;
18358;NT211;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Cheltenham Hospital;;Hatherley Lane;;Cheltenham;Gloucestershire;GL51 6SY;51,8919296265;-2,1299054623;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/cheltenhamhospital;;
18359;NT212;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Chichester Hospital;;78 Broyle Road;;Chichester;;PO19 6WB;50,8479804993;-0,780013144;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/chichesterhospital;;
18360;NT213;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Derby Hospital;;Rykneld Road;Littleover;Derby;Derbyshire;DE23 4SN;52,8935508728;-1,5301551819;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/derbyhospital;;
18361;NT214;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Wessex Hospital;Nuffield Health Wessex Hospital;Winchester Road;Chandlers Ford;Eastleigh;Hampshire;SO53 2DW;50,9969749451;-1,3593509197;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/hospitals/wessex;;
18362;NT215;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Exeter Hospital;Nuffield Health Exeter Hospital;Wonford Road;;Exeter;Devon;EX2 4UG;50,7163162231;-3,5112717152;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/exeterhospital;;
18363;NT216;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Guildford Hospital;;Stirling Road;;Guildford;Surrey;GU2 7RF;51,2416534424;-0,6125435829;NT2;Nuffield Health;01483 555800;;http://www.nuffieldhealth.com/hospitals/guildford;;
18365;NT218;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Haywards Heath Hospital;;Burrell Road;;Haywards Heath;;RH16 1UD;51,0083618164;-0,1061944813;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/haywards-heathhospital;;
18366;NT219;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Hereford Hospital;;Venns Lane;;Hereford;Herefordshire;HR1 1DF;52,0639381409;-2,6999545097;NT2;Nuffield Health;01432 355131;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/herefordhospital;01432 344061;
18367;NT222;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Ipswich Hospital;;Foxhall Road;;Ipswich;Suffolk;IP4 5SW;52,0475196838;1,2289458513;NT2;Nuffield Health;0800 015 5020;ipswich.enquiries@nuffieldhealth.com;http://www.nuffieldhealth.com/ipswichhospital;;
18368;NT224;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Warwickshire Hospital;;The Chase;Old Milverton Lane;Leamington Spa;Warwickshire;CV32 6RW;52,3089447021;-1,5433471203;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/warwickshirehospital;;
18369;NT225;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Leeds Hospital;Nuffield Health Leeds Hospital;2 Leighton Street;;Leeds;West Yorkshire;LS1 3EB;53,8006591797;-1,5542573929;NT2;Nuffield Health;0113 388 2000;leedsnuffield@nhs.net;https://www.nuffieldhealth.com/hospitals/leeds;0113 3882187;
18370;NT226;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Leicester Hospital;Nuffield Health Leicester Hospital;Scraptoft Lane;;Leicester;Leicestershire;LE5 1HY;52,6442565918;-1,0712954998;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/leicesterhospital;;
18371;NT229;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Newcastle-upon-Tyne Hospital;;Clayton Road;Jesmond;Newcastle Upon Tyne;;NE2 1JP;54,9866142273;-1,6052770615;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/newcastle-upon-tynehospital;;
18372;NT230;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, North Staffordshire Hospital;;Clayton Road;;Newcastle Under Lyme;Staffordshire;ST5 4DB;52,9874076843;-2,2230277061;NT2;Nuffield Health;01782 382551;customerservice.enq@nuffieldhealth.com;http://www.nuffieldhealth.com/northstaffordshirehospital;;
18373;NT233;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Plymouth Hospital;;Derriford Road;;Plymouth;Devon;PL6 8BG;50,418674469;-4,1144480705;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/plymouthhospital;;
18374;NT235;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Shrewsbury Hospital;;Longden Road;;Shrewsbury;Shropshire;SY3 9DP;52,6922569275;-2,771440506;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/shrewsburyhospital;;
18375;NT237;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Tees Hospital;Nuffield Health Tees Hospital;Junction Road;Norton;Stockton-on-Tees;Cleveland;TS20 1PX;54,5934257507;-1,3352185488;NT2;Nuffield Health;0800 015 5020;tees.enquiries2@nuffieldhealth.com;http://www.nuffieldhealth.com/teeshospital;;
18376;NT238;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Taunton Hospital;;Staplegrove Elm;;Taunton;Somerset;TA2 6AN;51,029750824;-3,1273517609;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/tauntonhospital;;
18377;NT239;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Tunbridge Wells Hospital;;Kingswood Road;;Tunbridge Wells;Kent;TN2 4UL;51,1315193176;0,2780530155;NT2;Nuffield Health;01892 531111;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/tunbridgewellshospital;;
18378;NT241;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Woking Hospital;;Shores Road;;Woking;Surrey;GU21 4BY;51,3322105408;-0,5613659024;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/wokinghospital;;
18379;NT242;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, Wolverhampton Hospital;;Wood Road;Tettenhall;Wolverhampton;;WV6 8LE;52,5934638977;-2,1715223789;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/hospitals/wolverhampton;;
18380;NT244;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, The Manor Hospital, Oxford;;Beech Road;Headington;Oxford;Oxfordshire;OX3 7RP;51,7604446411;-1,215518713;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/themanorhospitaloxford;;
18381;NT245;Hospital;Hospital;Independent Sector;Visible;TRUE;Nuffield Health, York Hospital;;Haxby Road;;York;North Yorkshire;YO31 8TA;53,9765510559;-1,0773791075;NT2;Nuffield Health;0800 015 5020;nuffieldhealth.ereferrals@nhs.net;http://www.nuffieldhealth.com/yorkhospital;;
18385;NT301;Hospital;Hospital;Independent Sector;Visible;TRUE;Spire South Bank Hospital;;139 Bath Road;;Worcester;Worcestershire;WR5 3YB;52,1810874939;-2,2162322998;NT3;Spire Healthcare;01905 350 003;cservice-sb@spirehealthcare.com;https://www.spirehealthcare.com/spire-south-bank-hospital/;01905 362 031;
